TF	TG	Input
Ep300	Tnfsf10	1
Ep300	Tnfsf13b	1
Ep300	Txnip	1
Ep300	Wnt4	1
Epas1	Abcg2	1
Epas1	Cdh5	1
Epas1	Cited2	1
Epas1	Col10a1	1
Epas1	Efna1	1
Epas1	Epo	1
Epas1	Epo	1
Epas1	Flt1	1
Epas1	Fxn	1
Epas1	Kdr	1
Epas1	Pou5f1	1
Epas1	Runx2	1
Epas1	Serpine1	1
Epas1	Vcam1	1
Epc1	Tagln	1
Epo	Osm	1
Epor	Cish	1
Erf	Utrn	1
Erg	Cdh5	1
Erg	Erg	1
Erg	Icam2	1
Erg	Lyl1	1
Erg	Snai1	1
Erg	Snai2	1
Erg	Vim	1
Erg	Vwf	1
Esr1	Bmp2	1
Esr1	Casp12	1
Esr1	Ccnd1	1
Esr1	Cdkn1a	1
Esr1	Cyp19a1	1
Esr1	Esrra	1
Esr1	F12	1
Esr1	Fasl	1
Esr1	Fos	1
Esr1	H19	1
Esr1	Igf1	1
Esr1	Ltf	1
Esr1	Myc	1
Esr1	Nell2	1
Esr1	Nr0b2	1
Esr1	Nrf1	1
Esr1	Pik3r1	1
Esr1	Pou3f1	1
Esr1	Pparg	1
Esr1	Ptgs1	1
Esr1	Slc2a4	1
Esr1	Slc2a4	1
Esr1	Slc7a1	1
Esr1	Srebf1	1
Esr1	Stat3	1
